service_id,service_class_id,service_name,agency,street,city,state,zipcode,country,url,contact_phone,contact_name,contact_email,contract_address
1,1,"Tutoring in Palo Alto","Mitchell Park Library","3700 Middlefield Road","Palo Alto",CA,94303,USA,cityofpaloalto.org/library,,,,NULL
2,1,"Congregation Beth Am",,"26790 Arastrodero Road","Palo Alto",CA,94022,USA,www.betham.org,,,,NULL
3,1,"YMCA - Kids",,"3412 Ross road","Palo Alto",CA,94303,USA,ymcasc.org/paloalto,,,,NULL
4,1,"Teen Arts Council- Childresn's Theatre",,"1305 Middlefield","Palo Alto",CA,94301,USA,cityofpaloalto.org,,,,NULL
5,1,"Jewish Community Center - Kids",,"4000 Middlefield","Palo Alto",CA,94303,USA,www.paloaltojcc.org,,,,
6,5,"Palo Alto Youth Council",,"3800 Middlefield Road","Palo Alto",CA,94303,USA,cityofpaloalto.org,,,,
7,1,"Lucie Stern Community Center",,"1305 Middlefield","Palo Alto",CA,94301,USA,cityofpaloalto.org,,,,
8,1,"Tutoring in Bay Area","Menlo Park Presbyterian Church","Department of Athletics","Menlo Park",CA,94025-4682,USA,mppc.org,,,,
9,1,"East Palo Alto  Tutor and Tennis - Stanford",EPATT,"1305 Middlefield",Stanford,CA,94305,USA,www.epatt.org/,,,,
10,1,"BBBS of the Bay Area",,"731 Market Street 6th Floor","San Francisco",CA,94103,USA,bbbsbayarea.org,,,,
11,1,"Palo Alto High School","Academic Resource Center","50 Embarcadero Road","Palo Alto",CA,94301,USA,www.paly.net,,,,
12,1,"Wisdom Culture and Education Organization",,"44577 S Grimmer Blvd",Fremont,CA,94538-6309,USA,wceo.org,,,,
13,1,"El Carmelo Elementary School",,"3024 Bryant Street","Palo Alto",CA,94306,USA,www.pausd.org,,,,
14,1,"Nakayoshi Gakko",,"575 N. shoreline Blvd","Mountain View",CA,94043,USA,www.nakayoshigakko.org/,,,,
15,1,"Catholic Korean School of San Jose",,"531 East Weddell Drive",Sunnyvale,CA,94084,USA,www.koreanschoolca.org/,,,,
16,1,"Walter Hays Elementary School",,"1525 Middlefield road","Palo Alto",CA,94301,USA,www.pausd.org,,,,
17,1,"CK-12 Foundation",,"1860 Embarcadero Road, Suite 100","Palo Alto",CA,94303-3310,USA,www.ck12.org,,,info@ck12.org,
19,1,Kidizens,,"074 Fabian Way, Ste 1","Palo Alto",CA,94303,USA,kidizenspaloalto.com,,,,
20,8,"Amigos De las Americas","Peninsula Chapter","P.O. Box 1319","Menlo Park",CA,94026,USA,"www.amigospeninsula.org/ ",,,,
21,1,"Math  Olympiad",,"2091 Park Blvd","Palo Alto",CA,94306,USA,,,,,
22,1,"Tzu Chi Academy",,"P.O. Box 1125","San Mateo",CA,94403,USA,northerncal.us.tzuchi.org/nc.nsf,,,,
23,1,"Ohlone Foreign Language Program ",,"2458 W Bayshore #3","Palo Alto",CA,94303,USA,www.pausd.org,,,,
24,1,CISV,,"19 Doner Ct","San Jose",CA,94070,USA,www.cisv.org/,,,,
25,1,"PALY special Ed. Class 409",PALY,"50 embarcadero Road","Palo Alto",CA,94301,USA,www.paly.net,,,,
26,1,"Russian School of Mathmatics",,"160 Saratoga Ave. Suite 280","Santa Clara",CA,95051,USA,www.russianschool.com,,,,
27,1,"City of Palo Alto - Summer Counseler in training ","Lucie Stern Center","1451 Middlefield Road","Palo Alto",CA,94301,USA,cityofpaloalto.org,,,,
28,1,"Tutoring in other areas/international","No. 4 Middle School",,Xilinhaote,InnerMongolia,,CHINA,,,,,
29,1,"Ravenswood School District",,"2120 Euclid Avenue","East Palo Alto",CA,94303-1799,USA,www.ravenswood.k12.ca.us/,,,,
30,1,"Jin Family Tutoring Services",,"Bldg 4, 46 East Zone Nandajie, Zhongguanchun, Haidian District",Beijing,,,CHINA,,,,,
31,1,"Palo Alto Art Center",,"1313 Newell Road","Palo Alto",CA,94301,USA,cityofpaloalto.org,,,,
32,1,"Global Volunteers at Orphanage",,"25 Churchill Ave","Palo Alto",CA,94306,USA,www.globalvolunteers.org/,,,,"375 East Little Canada Road, St. Paul, MN 55117-1628"
1001,2,"YMCA - Sports",,"3412 Ross road","Palo Alto",CA,94303,USA,ymcasc.org/paloalto,,,,
1002,2,"East Palo Alto  Tutor and Tennis - East Palo Alto",EPATT,"Department of Athletics","East Palo Alto",CA,94303,USA,www.epatt.org,,,,
1004,2,"Stanford Soccer Club",,"310 Colorado Ave","Palo Alto",CA,94306,USA,www.stanfordsoccerclub.org,,,,"Room A2, Cubberley Community Center, 4000 Middlefield Road, Palo Alto, CA 94306"
1005,2,"AYSO Soccer",,"685 Wellsbury way","Palo Alto",CA,94306,USA,www.ayso26.org/ ,,,,
1006,2,"Palo Alto Little League",,"P.O. Box 785","Palo Alto",CA,94302,USA,www.pabaseball.org/,,,,
1007,2,"Winter Lodge at Palo Alto",,"3009 Middlefield Road","Palo Alto",CA,94306,USA,www.winterlodge.com,650-493-4566,,,
1008,2,"Galileo Learning ",,"3270 Lakeshore Avenue",Oakland,CA,94610,USA,www.galileo-learning.com/,510-595-729,,,
1009,3,"VIA Services",,"13851 Stevens Canyon Road",Cupertino,CA,94014,USA,www.viaservices.org,,,,
1011,2,"Palo Alto City Hoops",,"398 Irving Avenue","San Jose",CA,95128,USA,www.city-hoops.com,,,,
1012,2,"Overland Summers",,,Williamstown,MA,01267,USA,www.overlandsummers.org,,,,
1013,2,"Grace Christian Academy",,"67 Dong Sing St, Nan Kang District",Taipei,,115,Taiwan,,,,,
1014,2,"Deer Hill Expeditions",,"PO Box 180",Mancos,CO,81328,USA,www.deerhillexpeditions.com,,,,
2001,3,"Lytton Gardens Senior Communities",,"437 Webster Street","Palo Alto",CA,94301,USA,www.lyttongardens.org,,,,
2002,3,"Jewish Community Center - Senior",,"4000 Middlefield","Palo Alto",CA,94303,USA,www.paloaltojcc.org,,,,
2003,3,"Peninsula Jewish Teen Community Foundadtion",,"5150 El Camino Real suit D11","Los Altos",CA,94022,USA,www.sfjcf.org/,,,,
2004,3,"VA Palo Alto",,"3801 Miranda Ave","Palo Alto",CA,94304,USA,www.palo-alto.med.va.gov/,,,,
2005,3,"Special Olympics - Senior Games",,"1445 Koll circle, Suite 104 ","San Jose",CA,95112,USA,www.specialolympics.org/leaders.aspx,,,,
3001,4,"Marine Science Institute",,"500 Discovery Parkway","Redwood City",CA,94063,USA,www.sfbaymsi.org,,,,
3002,3,"Westwind Riding Institute",,"27210 Altamont Rod","Los Altos Hills",CA,94022,USA,,,,,
3003,4,"Palo Alto Animal Service",,"3281 E. Bayshore Rd","Palo Alto",CA,94303,USA,www.cityofpaloalto.org,,,,
3004,4,"Nine Lives Foundation",,"3016 Rolison Road","Redwood City",CA,94063,USA,www.ninelivesfoundation.org/,,,,
3005,4,"San Francisco Zoo",,"1 Zoo Road","San Francisco",CA,94132,USA,www.sfzoo.org,,,,
3006,4,"Palo Alto Junior Museum and Zoo",,"1451 Middlefield Road","Palo Alto",CA,94301,USA,www.cityofpaloalto.org,,,,
6001,4,Canopy,,"3921 East Bayshore Road","Palo Alto",CA,94303,USA,www.canopy.org,,,,
6002,4,"San Mateo County","Department of Parks","455 County Center, 4th Floor","Redwood City",CA,94063,USA,www.co.sanmateo.ca.us/portal/site/parks/,650-599-1721,,,
6003,4,"Tahoe Meadows",,,"South Lake Tahoe",CA,,USA,www.tahoemeadows.org/,,,,
6004,4,"Rebuilding Together Penninsula",,"841 Kaynyne Street","Redwood City",CA,94063-3000,USA,www.rebuildingtogetherpeninsula.org,,,,
6005,4,"Regenerative Science Institute",,"1230 Bordeaux Ave",Sunnyvale,CA,94089,USA,www.regensci.org/,,,,
6006,6,Esperanza,,"717 3rd Avenue","Chula Vista",CA,91910,USA,,,,,
6007,4,"Jasper Ridge Biological Preserve","Stanford University","Gilbert 410",Stanford,CA,94301,USA,jrbp.stanford.edu/,,,,
6008,4,"Save the Bay",,"350 Frank A. Ogawa Plaza","South Oakland",CA,94609,USA,www.savesfbay.org,,,,
6009,4,Acterra,,"3921 E. Bayshore","Palo Alto",CA,94303,USA,www.acterra.org/,,,,
6010,6,"Habitat for Humanity",,"690 Broadway Street","Redwood City",CA,94063,USA,www.habitat.org/,,,,
6011,6,"Rustic Pathways",,"P.O. Box 1150",Willoughby,OH,44096,USA,www.rusticpathways.com/,,,,
6012,6,"Volunteer Maintenance Club",,"128 Academia Rd. Sec. 2, NanKang"," Taipei",,,Taiwan,,,,,
6013,4,"EHC Lifebuilders","EHC Lifebuilders","507 Valley Way",Milpitas,CA,95035,NULL,NULL,408-963-2322,"Carson Kimberley",NULL,NULL
7001,8,"American Red Cross","Palo Alto Chapter","400 Mitchell Lane","Palo Alto",CA,94301,USA,www.siliconvalley-redcross.org,877-727-6771,,,"Sillicon Valley Chapter, 2731 North 1st Street, San Jose, CA 95134"
7003,8,"American Disaster Relief",,"50 Embarcadero Road","Palo Alto",CA,94301,USA,www.facebook.com/americandisasterrelief,,,,
7005,3,"Abilities United",,"525 East Charleston","Palo Alto",CA,94306,USA,www.abilitiesunited.org,650-320-8237,,,"3864 Middlefield Road, Palo Alto, CA 94303-4716"
7006,7,"Lucile Packard Children's Hospital",,"770 welch road, suite 150","Palo Alto",CA,94304,USA,www.lpch.org/,,,,
7008,7,"Stanford Unv. Medical Center Auxillary",,"300 Pasteur Drive","Palo Alto",CA,94304,USA,"www.stanfordhospital.org /Volunteering",,,,
7009,7,"El Camino Hospital",,"2500 Grant Road","Mountain View",CA,94304,USA,www.elcaminohospital.org/,650-940-7000,,,
7010,7,"American Cancer Society",,"243 Main Street","Los Altos",CA,94022,USA,www.cancer.org/,,,,
7011,7,"Laguna Honda Hospital",,"375 Laguna Honda Blvd","San Francisco",CA,94116,USA,www.lagunahonda.org/,,,,
7012,8,"International Health Care Volunteers",,"P.O. Box 8231",Trenton,NJ,08650,USA,www.ihcv.org/,,,,
7013,1,"Partner In Education - PIE",NULL,"25 Churchill Ave.","Palo Alto",CA,94306,USA,www.papie.org/index.html,650-329-3990,NULL,NULL,NULL
7014,1,"Escondido Elementary School",NULL,"890 Escondido Road",Stanford,CA,94305,USA,www.escondidoschool.org/,650-856-1337,NULL,NULL,NULL
7015,1,"Palo Alto Library",NULL,"1213 Newell Road","Palo Alto",CA,94303,USA,www.cityofpaloalto.org/depts/lib/default.asp,650-329-2436,NULL,NULL,NULL
7016,10,"PALY Key-Club",PALY,"50 Embarcadero Road","Palo Alto",CA,94301,USA,www.paly.net,NULL,NULL,NULL,NULL
7017,1,"Dance Visions","Dance Visions","4000 Middlefield Road, Cubberly center L-3","Palo Alto",CA,94306,USA,www.danceaction.org/home.html,650-858-2005,NULL,NULL,NULL
7018,1,"Girl Scouts of America","Palo Alto chapter","1120 Hopkins Avenue","Palo Alto",CA,94301,USA,NULL,650-853-9692,"Suzanne Bell",NULL,NULL
