"service_id";"service_class_id";"service_name";"agency";"street";"city";"state";"zipcode";"country";"url";"contact_phone";"contact_name";"contact_email";"contract_address"
1;1;"Tutoring in Palo Alto";"Mitchell Park Library";"3700 Middlefield Road";"Palo Alto";"CA";"94303";"USA";"cityofpaloalto.org/library";"";"";"";""
2;1;"Congregation Beth Am";"";"26790 Arastrodero Road";"Palo Alto";"CA";"94022";"USA";"www.betham.org";"";"";"";""
3;1;"YMCA - Kids";"";"3412 Ross road";"Palo Alto";"CA";"94303";"USA";"ymcasc.org/paloalto";"";"";"";""
4;1;"Teen Arts Council- Childresn's Theatre";"";"1305 Middlefield";"Palo Alto";"CA";"94301";"USA";"cityofpaloalto.org";"";"";"";""
5;1;"Jewish Community Center - Kids";"";"4000 Middlefield";"Palo Alto";"CA";"94303";"USA";"www.paloaltojcc.org";"";"";"";""
6;5;"Palo Alto Youth Council";"";"3800 Middlefield Road";"Palo Alto";"CA";"94303";"USA";"cityofpaloalto.org";"";"";"";""
7;1;"Lucie Stern Community Center";"";"1305 Middlefield";"Palo Alto";"CA";"94301";"USA";"cityofpaloalto.org";"";"";"";""
8;1;"Tutoring in Bay Area";"Menlo Park Presbyterian Church";"Department of Athletics";"Menlo Park";"CA";"94025-4682";"USA";"mppc.org";"";"";"";""
9;1;"East Palo Alto  Tutor and Tennis - Stanford";"EPATT";"1305 Middlefield";"Stanford";"CA";"94305";"USA";"www.epatt.org/";"";"";"";""
10;1;"BBBS of the Bay Area";"";"731 Market Street 6th Floor";"San Francisco";"CA";"94103";"USA";"bbbsbayarea.org";"";"";"";""
11;1;"Palo Alto High School";"Academic Resource Center";"50 Embarcadero Road";"Palo Alto";"CA";"94301";"USA";"www.paly.net";"";"";"";""
12;1;"Wisdom Culture and Education Organization";"";"44577 S Grimmer Blvd";"Fremont";"CA";"94538-6309";"USA";"wceo.org";"";"";"";""
13;1;"El Carmelo Elementary School";"";"3024 Bryant Street";"Palo Alto";"CA";"94306";"USA";"www.pausd.org";"";"";"";""
14;1;"Nakayoshi Gakko";"";"575 N. shoreline Blvd";"Mountain View";"CA";"94043";"USA";"www.nakayoshigakko.org/";"";"";"";""
15;1;"Catholic Korean School of San Jose";"";"531 East Weddell Drive";"Sunnyvale";"CA";"94084";"USA";"www.koreanschoolca.org/";"";"";"";""
16;1;"Walter Hays Elementary School";"";"1525 Middlefield road";"Palo Alto";"CA";"94301";"USA";"www.pausd.org";"";"";"";""
17;1;"CK-12 Foundation";"";"1860 Embarcadero Road, Suite 100";"Palo Alto";"CA";"94303-3310";"USA";"www.ck12.org";"";"";"info@ck12.org";""
19;1;"Kidizens";"";"074 Fabian Way, Ste 1";"Palo Alto";"CA";"94303";"USA";"kidizenspaloalto.com";"";"";"";""
20;8;"Amigos De las Americas";"Peninsula Chapter";"P.O. Box 1319";"Menlo Park";"CA";"94026";"USA";"www.amigospeninsula.org/ ";"";"";"";""
21;1;"Math  Olympiad";"";"2091 Park Blvd";"Palo Alto";"CA";"94306";"USA";"";"";"";"";""
22;1;"Tzu Chi Academy";"";"P.O. Box 1125";"San Mateo";"CA";"94403";"USA";"northerncal.us.tzuchi.org/nc.nsf";"";"";"";""
23;1;"Ohlone Foreign Language Program ";"";"2458 W Bayshore #3";"Palo Alto";"CA";"94303";"USA";"www.pausd.org";"";"";"";""
24;1;"CISV";"";"19 Doner Ct";"San Jose";"CA";"94070";"USA";"www.cisv.org/";"";"";"";""
25;1;"PALY special Ed. Class 409";"PALY";"50 embarcadero Road";"Palo Alto";"CA";"94301";"USA";"www.paly.net";"";"";"";""
26;1;"Russian School of Mathmatics";"";"160 Saratoga Ave. Suite 280";"Santa Clara";"CA";"95051";"USA";"www.russianschool.com";"";"";"";""
27;1;"City of Palo Alto - Summer Counseler in training ";"Lucie Stern Center";"1451 Middlefield Road";"Palo Alto";"CA";"94301";"USA";"cityofpaloalto.org";"";"";"";""
28;1;"Tutoring in other areas/international";"No. 4 Middle School";"";"Xilinhaote";"InnerMongolia";"";"CHINA";"";"";"";"";""
29;1;"Ravenswood School District";"";"2120 Euclid Avenue";"East Palo Alto";"CA";"94303-1799";"USA";"www.ravenswood.k12.ca.us/";"";"";"";""
30;1;"Jin Family Tutoring Services";"";"Bldg 4, 46 East Zone Nandajie, Zhongguanchun, Haidian District";"Beijing";"";"";"CHINA";"";"";"";"";""
31;1;"Palo Alto Art Center";"";"1313 Newell Road";"Palo Alto";"CA";"94301";"USA";"cityofpaloalto.org";"";"";"";""
32;1;"Global Volunteers at Orphanage";"";"25 Churchill Ave";"Palo Alto";"CA";"94306";"USA";"www.globalvolunteers.org/";"";"";"";"375 East Little Canada Road, St. Paul, MN 55117-1628"
1001;2;"YMCA - Sports";"";"3412 Ross road";"Palo Alto";"CA";"94303";"USA";"ymcasc.org/paloalto";"";"";"";""
1002;2;"East Palo Alto  Tutor and Tennis - East Palo Alto";"EPATT";"Department of Athletics";"East Palo Alto";"CA";"94303";"USA";"www.epatt.org";"";"";"";""
1004;2;"Stanford Soccer Club";"";"310 Colorado Ave";"Palo Alto";"CA";"94306";"USA";"www.stanfordsoccerclub.org";"";"";"";"Room A2, Cubberley Community Center, 4000 Middlefield Road, Palo Alto, CA 94306"
1005;2;"AYSO Soccer";"";"685 Wellsbury way";"Palo Alto";"CA";"94306";"USA";"www.ayso26.org/ ";"";"";"";""
1006;2;"Palo Alto Little League";"";"P.O. Box 785";"Palo Alto";"CA";"94302";"USA";"www.pabaseball.org/";"";"";"";""
1007;2;"Winter Lodge at Palo Alto";"";"3009 Middlefield Road";"Palo Alto";"CA";"94306";"USA";"www.winterlodge.com";"650-493-4566";"";"";""
1008;2;"Galileo Learning ";"";"3270 Lakeshore Avenue";"Oakland";"CA";"94610";"USA";"www.galileo-learning.com/";"510-595-729";"";"";""
1009;3;"VIA Services";"";"13851 Stevens Canyon Road";"Cupertino";"CA";"94014";"USA";"www.viaservices.org";"";"";"";""
1011;2;"Palo Alto City Hoops";"";"398 Irving Avenue";"San Jose";"CA";"95128";"USA";"www.city-hoops.com";"";"";"";""
1012;2;"Overland Summers";"";"";"Williamstown";"MA";"01267";"USA";"www.overlandsummers.org";"";"";"";""
1013;2;"Grace Christian Academy";"";"67 Dong Sing St, Nan Kang District";"Taipei";"";"115";"Taiwan";"";"";"";"";""
